,Symbol,Volume,Date,Type,ClosingDate
0,10104,17.0,2024-01-31,Buy,2024-02-29
1,10107,5.0,2024-01-31,Buy,2024-02-29
2,10138,17.0,2024-01-31,Buy,2024-02-29
3,10145,9.0,2024-01-31,Buy,2024-02-29
4,10516,35.0,2024-01-31,Buy,2024-02-29
5,10696,14.0,2024-01-31,Buy,2024-02-29
6,11308,33.0,2024-01-31,Buy,2024-02-29
7,11403,6.0,2024-01-31,Buy,2024-02-29
8,11404,22.0,2024-01-31,Buy,2024-02-29
9,11533,1.0,2024-01-31,Buy,2024-02-29
10,11600,57.0,2024-01-31,Buy,2024-02-29
11,11618,29.0,2024-01-31,Buy,2024-02-29
12,11674,18.0,2024-01-31,Buy,2024-02-29
13,11762,8.0,2024-01-31,Buy,2024-02-29
14,11850,19.0,2024-01-31,Buy,2024-02-29
15,11891,43.0,2024-01-31,Buy,2024-02-29
16,11955,10.0,2024-01-31,Buy,2024-02-29
17,12052,7.0,2024-01-31,Buy,2024-02-29
18,12060,15.0,2024-01-31,Buy,2024-02-29
19,12062,8.0,2024-01-31,Buy,2024-02-29
20,12084,9.0,2024-01-31,Buy,2024-02-29
21,12308,5.0,2024-01-31,Buy,2024-02-29
22,12345,21.0,2024-01-31,Buy,2024-02-29
23,12369,48.0,2024-01-31,Buy,2024-02-29
24,12431,7.0,2024-01-31,Buy,2024-02-29
25,12449,6.0,2024-01-31,Buy,2024-02-29
26,12476,23.0,2024-01-31,Buy,2024-02-29
27,12490,10.0,2024-01-31,Buy,2024-02-29
28,12558,118.0,2024-01-31,Buy,2024-02-29
29,12622,6.0,2024-01-31,Buy,2024-02-29
30,12623,7.0,2024-01-31,Buy,2024-02-29
31,12872,12.0,2024-01-31,Buy,2024-02-29
32,13035,17.0,2024-01-31,Buy,2024-02-29
33,13103,23.0,2024-01-31,Buy,2024-02-29
34,13210,6.0,2024-01-31,Buy,2024-02-29
35,13323,18.0,2024-01-31,Buy,2024-02-29
36,13356,13.0,2024-01-31,Buy,2024-02-29
37,13407,4.0,2024-01-31,Buy,2024-02-29
38,13447,2.0,2024-01-31,Buy,2024-02-29
39,13511,5.0,2024-01-31,Buy,2024-02-29
40,13586,27.0,2024-01-31,Buy,2024-02-29
41,13641,13.0,2024-01-31,Buy,2024-02-29
42,13688,118.0,2024-01-31,Buy,2024-02-29
43,13721,12.0,2024-01-31,Buy,2024-02-29
44,13760,106.0,2024-01-31,Buy,2024-02-29
45,13788,10.0,2024-01-31,Buy,2024-02-29
46,13856,11.0,2024-01-31,Buy,2024-02-29
47,13901,49.0,2024-01-31,Buy,2024-02-29
48,13911,9.0,2024-01-31,Buy,2024-02-29
49,13928,17.0,2024-01-31,Buy,2024-02-29
50,13949,8.0,2024-01-31,Buy,2024-02-29
51,13963,81.0,2024-01-31,Buy,2024-02-29
52,13964,78.0,2024-01-31,Buy,2024-02-29
53,14008,6.0,2024-01-31,Buy,2024-02-29
54,14277,41.0,2024-01-31,Buy,2024-02-29
55,14297,16.0,2024-01-31,Buy,2024-02-29
56,14338,10.0,2024-01-31,Buy,2024-02-29
57,14541,13.0,2024-01-31,Buy,2024-02-29
58,14542,13.0,2024-01-31,Buy,2024-02-29
59,14579,9.0,2024-01-31,Buy,2024-02-29
60,14593,10.0,2024-01-31,Buy,2024-02-29
61,14702,11.0,2024-01-31,Buy,2024-02-29
62,14714,7.0,2024-01-31,Buy,2024-02-29
63,14763,36.0,2024-01-31,Buy,2024-02-29
64,14776,48.0,2024-01-31,Buy,2024-02-29
65,14882,41.0,2024-01-31,Buy,2024-02-29
66,14889,58.0,2024-01-31,Buy,2024-02-29
67,14939,13.0,2024-01-31,Buy,2024-02-29
68,15069,87.0,2024-01-31,Buy,2024-02-29
69,15202,8.0,2024-01-31,Buy,2024-02-29
70,15291,28.0,2024-01-31,Buy,2024-02-29
71,15408,56.0,2024-01-31,Buy,2024-02-29
72,15488,30.0,2024-01-31,Buy,2024-02-29
73,15579,12.0,2024-01-31,Buy,2024-02-29
74,15707,130.0,2024-01-31,Buy,2024-02-29
75,15720,29.0,2024-01-31,Buy,2024-02-29
76,15850,49.0,2024-01-31,Buy,2024-02-29
77,16087,25.0,2024-01-31,Buy,2024-02-29
78,16431,19.0,2024-01-31,Buy,2024-02-29
79,16581,60.0,2024-01-31,Buy,2024-02-29
80,16600,10.0,2024-01-31,Buy,2024-02-29
81,16678,45.0,2024-01-31,Buy,2024-02-29
82,16692,25.0,2024-01-31,Buy,2024-02-29
83,16851,32.0,2024-01-31,Buy,2024-02-29
84,17005,26.0,2024-01-31,Buy,2024-02-29
85,17144,32.0,2024-01-31,Buy,2024-02-29
86,17307,66.0,2024-01-31,Buy,2024-02-29
87,17478,4.0,2024-01-31,Buy,2024-02-29
88,17700,27.0,2024-01-31,Buy,2024-02-29
89,17743,24.0,2024-01-31,Buy,2024-02-29
90,17750,16.0,2024-01-31,Buy,2024-02-29
91,17830,21.0,2024-01-31,Buy,2024-02-29
92,17942,63.0,2024-01-31,Buy,2024-02-29
93,18143,4.0,2024-01-31,Buy,2024-02-29
94,18163,12.0,2024-01-31,Buy,2024-02-29
95,18312,19.0,2024-01-31,Buy,2024-02-29
96,18411,28.0,2024-01-31,Buy,2024-02-29
97,18420,61.0,2024-01-31,Buy,2024-02-29
98,18421,66.0,2024-01-31,Buy,2024-02-29
99,18428,37.0,2024-01-31,Buy,2024-02-29
100,18542,6.0,2024-01-31,Buy,2024-02-29
101,18576,29.0,2024-01-31,Buy,2024-02-29
102,18592,43.0,2024-01-31,Buy,2024-02-29
103,18724,212.0,2024-01-31,Buy,2024-02-29
104,18729,24.0,2024-01-31,Buy,2024-02-29
105,19166,35.0,2024-01-31,Buy,2024-02-29
106,19285,36.0,2024-01-31,Buy,2024-02-29
107,19286,22.0,2024-01-31,Buy,2024-02-29
108,19350,5.0,2024-01-31,Buy,2024-02-29
109,19393,42.0,2024-01-31,Buy,2024-02-29
110,19502,88.0,2024-01-31,Buy,2024-02-29
111,19561,9.0,2024-01-31,Buy,2024-02-29
112,19583,120.0,2024-01-31,Buy,2024-02-29
113,20057,169.0,2024-01-31,Buy,2024-02-29
114,20190,13.0,2024-01-31,Buy,2024-02-29
115,20482,17.0,2024-01-31,Buy,2024-02-29
116,21020,133.0,2024-01-31,Buy,2024-02-29
117,21178,4.0,2024-01-31,Buy,2024-02-29
118,21186,49.0,2024-01-31,Buy,2024-02-29
119,21207,57.0,2024-01-31,Buy,2024-02-29
120,21371,18.0,2024-01-31,Buy,2024-02-29
121,21573,55.0,2024-01-31,Buy,2024-02-29
122,21776,57.0,2024-01-31,Buy,2024-02-29
123,21792,71.0,2024-01-31,Buy,2024-02-29
124,21936,73.0,2024-01-31,Buy,2024-02-29
125,22103,21.0,2024-01-31,Buy,2024-02-29
126,22111,13.0,2024-01-31,Buy,2024-02-29
127,22293,61.0,2024-01-31,Buy,2024-02-29
128,22509,14.0,2024-01-31,Buy,2024-02-29
129,22517,76.0,2024-01-31,Buy,2024-02-29
130,22592,21.0,2024-01-31,Buy,2024-02-29
131,22623,16.0,2024-01-31,Buy,2024-02-29
132,22752,17.0,2024-01-31,Buy,2024-02-29
133,22779,6.0,2024-01-31,Buy,2024-02-29
134,22976,189.0,2024-01-31,Buy,2024-02-29
135,23026,54.0,2024-01-31,Buy,2024-02-29
136,23229,34.0,2024-01-31,Buy,2024-02-29
137,23393,21.0,2024-01-31,Buy,2024-02-29
138,23473,18.0,2024-01-31,Buy,2024-02-29
139,23536,24.0,2024-01-31,Buy,2024-02-29
140,23570,28.0,2024-01-31,Buy,2024-02-29
141,23579,23.0,2024-01-31,Buy,2024-02-29
142,23660,3.0,2024-01-31,Buy,2024-02-29
143,23712,34.0,2024-01-31,Buy,2024-02-29
144,23819,56.0,2024-01-31,Buy,2024-02-29
145,23876,101.0,2024-01-31,Buy,2024-02-29
146,23931,33.0,2024-01-31,Buy,2024-02-29
147,24010,20.0,2024-01-31,Buy,2024-02-29
148,24053,39.0,2024-01-31,Buy,2024-02-29
149,24109,25.0,2024-01-31,Buy,2024-02-29
150,24174,27.0,2024-01-31,Buy,2024-02-29
151,24205,34.0,2024-01-31,Buy,2024-02-29
152,24328,56.0,2024-01-31,Buy,2024-02-29
153,24643,35.0,2024-01-31,Buy,2024-02-29
154,24766,4.0,2024-01-31,Buy,2024-02-29
155,24985,28.0,2024-01-31,Buy,2024-02-29
156,25081,36.0,2024-01-31,Buy,2024-02-29
157,25232,29.0,2024-01-31,Buy,2024-02-29
158,25320,47.0,2024-01-31,Buy,2024-02-29
159,25419,18.0,2024-01-31,Buy,2024-02-29
160,25582,9.0,2024-01-31,Buy,2024-02-29
161,25785,162.0,2024-01-31,Buy,2024-02-29
162,25953,13.0,2024-01-31,Buy,2024-02-29
163,26403,20.0,2024-01-31,Buy,2024-02-29
164,26710,27.0,2024-01-31,Buy,2024-02-29
165,26825,38.0,2024-01-31,Buy,2024-02-29
166,27828,69.0,2024-01-31,Buy,2024-02-29
167,27887,51.0,2024-01-31,Buy,2024-02-29
168,27959,20.0,2024-01-31,Buy,2024-02-29
169,27991,29.0,2024-01-31,Buy,2024-02-29
170,28222,7.0,2024-01-31,Buy,2024-02-29
171,28484,14.0,2024-01-31,Buy,2024-02-29
172,29946,36.0,2024-01-31,Buy,2024-02-29
173,30681,22.0,2024-01-31,Buy,2024-02-29
174,32870,69.0,2024-01-31,Buy,2024-02-29
175,32942,5.0,2024-01-31,Buy,2024-02-29
176,32986,17.0,2024-01-31,Buy,2024-02-29
177,34032,29.0,2024-01-31,Buy,2024-02-29
178,34746,55.0,2024-01-31,Buy,2024-02-29
179,34817,10.0,2024-01-31,Buy,2024-02-29
180,34833,34.0,2024-01-31,Buy,2024-02-29
181,35044,107.0,2024-01-31,Buy,2024-02-29
182,35554,14.0,2024-01-31,Buy,2024-02-29
183,36003,46.0,2024-01-31,Buy,2024-02-29
184,36468,6.0,2024-01-31,Buy,2024-02-29
185,37584,71.0,2024-01-31,Buy,2024-02-29
186,38093,8.0,2024-01-31,Buy,2024-02-29
187,38156,57.0,2024-01-31,Buy,2024-02-29
188,38703,39.0,2024-01-31,Buy,2024-02-29
189,38762,77.0,2024-01-31,Buy,2024-02-29
190,39490,63.0,2024-01-31,Buy,2024-02-29
191,39642,8.0,2024-01-31,Buy,2024-02-29
192,39917,61.0,2024-01-31,Buy,2024-02-29
193,40272,24.0,2024-01-31,Buy,2024-02-29
194,40539,21.0,2024-01-31,Buy,2024-02-29
195,41080,8.0,2024-01-31,Buy,2024-02-29
196,41355,4.0,2024-01-31,Buy,2024-02-29
197,42200,18.0,2024-01-31,Buy,2024-02-29
198,42585,15.0,2024-01-31,Buy,2024-02-29
199,42877,9.0,2024-01-31,Buy,2024-02-29
200,42906,157.0,2024-01-31,Buy,2024-02-29
201,43350,20.0,2024-01-31,Buy,2024-02-29
202,43449,6.0,2024-01-31,Buy,2024-02-29
203,43553,115.0,2024-01-31,Buy,2024-02-29
204,44206,36.0,2024-01-31,Buy,2024-02-29
205,44329,8.0,2024-01-31,Buy,2024-02-29
206,44601,10.0,2024-01-31,Buy,2024-02-29
207,44644,8.0,2024-01-31,Buy,2024-02-29
208,45356,37.0,2024-01-31,Buy,2024-02-29
209,45751,10.0,2024-01-31,Buy,2024-02-29
210,45911,18.0,2024-01-31,Buy,2024-02-29
211,46578,13.0,2024-01-31,Buy,2024-02-29
212,46674,14.0,2024-01-31,Buy,2024-02-29
213,46703,104.0,2024-01-31,Buy,2024-02-29
214,46886,3.0,2024-01-31,Buy,2024-02-29
215,47896,11.0,2024-01-31,Buy,2024-02-29
216,48486,2.0,2024-01-31,Buy,2024-02-29
217,48506,5.0,2024-01-31,Buy,2024-02-29
218,48653,5.0,2024-01-31,Buy,2024-02-29
219,48725,8.0,2024-01-31,Buy,2024-02-29
220,49154,14.0,2024-01-31,Buy,2024-02-29
221,49656,36.0,2024-01-31,Buy,2024-02-29
222,49680,8.0,2024-01-31,Buy,2024-02-29
223,50876,3.0,2024-01-31,Buy,2024-02-29
224,51369,19.0,2024-01-31,Buy,2024-02-29
225,52038,24.0,2024-01-31,Buy,2024-02-29
226,52090,29.0,2024-01-31,Buy,2024-02-29
227,52230,25.0,2024-01-31,Buy,2024-02-29
228,52329,14.0,2024-01-31,Buy,2024-02-29
229,52476,7.0,2024-01-31,Buy,2024-02-29
230,52695,2.0,2024-01-31,Buy,2024-02-29
231,52708,13.0,2024-01-31,Buy,2024-02-29
232,52978,40.0,2024-01-31,Buy,2024-02-29
233,53065,60.0,2024-01-31,Buy,2024-02-29
234,53613,22.0,2024-01-31,Buy,2024-02-29
235,54148,19.0,2024-01-31,Buy,2024-02-29
236,55976,12.0,2024-01-31,Buy,2024-02-29
237,56274,72.0,2024-01-31,Buy,2024-02-29
238,56573,7.0,2024-01-31,Buy,2024-02-29
239,57568,36.0,2024-01-31,Buy,2024-02-29
240,57665,19.0,2024-01-31,Buy,2024-02-29
241,57809,7.0,2024-01-31,Buy,2024-02-29
242,57904,23.0,2024-01-31,Buy,2024-02-29
243,58246,25.0,2024-01-31,Buy,2024-02-29
244,58413,19.0,2024-01-31,Buy,2024-02-29
245,58683,66.0,2024-01-31,Buy,2024-02-29
246,58819,41.0,2024-01-31,Buy,2024-02-29
247,59176,9.0,2024-01-31,Buy,2024-02-29
248,59248,32.0,2024-01-31,Buy,2024-02-29
249,59300,55.0,2024-01-31,Buy,2024-02-29
250,59328,44.0,2024-01-31,Buy,2024-02-29
251,59408,58.0,2024-01-31,Buy,2024-02-29
252,59459,9.0,2024-01-31,Buy,2024-02-29
253,60097,22.0,2024-01-31,Buy,2024-02-29
254,60206,6.0,2024-01-31,Buy,2024-02-29
255,60442,13.0,2024-01-31,Buy,2024-02-29
256,60506,19.0,2024-01-31,Buy,2024-02-29
257,60628,8.0,2024-01-31,Buy,2024-02-29
258,60871,10.0,2024-01-31,Buy,2024-02-29
259,61241,11.0,2024-01-31,Buy,2024-02-29
260,61399,9.0,2024-01-31,Buy,2024-02-29
261,61516,6.0,2024-01-31,Buy,2024-02-29
262,61621,16.0,2024-01-31,Buy,2024-02-29
263,61735,6.0,2024-01-31,Buy,2024-02-29
264,62092,3.0,2024-01-31,Buy,2024-02-29
265,62148,56.0,2024-01-31,Buy,2024-02-29
266,62308,16.0,2024-01-31,Buy,2024-02-29
267,62498,5.0,2024-01-31,Buy,2024-02-29
